loc_rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_dens,ra,dec,st_teff,st_mass,st_rad,pl_masse,pl_rade
338,HD 126614,Radial Velocity,1,1244,2.37,0.41,,216.701172,-5.17778,5568,1.26,1.32,130.3103,
339,HD 128311,Radial Velocity,2,453.019,1.084,0.303,,219.002335,9.746518,,0.83,0.76,,
340,HD 128311,Radial Velocity,2,921.538,1.74,0.159,,219.002335,9.746518,,0.83,0.76,1204.25787,
341,HD 128356,Radial Velocity,1,298.2,0.87,0.57,,219.270355,-25.802563,4875,0.65,0.85,,
342,HD 129445,Radial Velocity,1,1840,2.9,0.7,,221.512772,-68.762749,,0.99,,,
343,HD 130322,Radial Velocity,1,10.70871,0.0925,0.029,,221.886368,-0.281476,5387,0.92,0.85,,
344,HD 131496,Radial Velocity,1,883,2.11,0.16,,223.345947,18.235401,4886,1.62,5.54,711.9392,
345,HD 131664,Radial Velocity,1,1951,3.17,0.64,,225.025314,-73.535339,5892,1.19,1.08,6076.9096,
346,HD 13189,Radial Velocity,1,471.60001,1.25,0.27,,32.417381,32.316437,4175,2.24,38.41,3480.2385,
347,HD 132406,Radial Velocity,1,974,1.98,0.34,,224.227707,53.382168,5783,1.03,1.34,1709.9254,
348,HD 132563,Radial Velocity,1,1544,2.62,0.22,,224.589661,44.043148,,,,,
349,HD 133131 A,Radial Velocity,2,649,1.44,0.33,,225.897705,-27.842573,5799,0.95,,,
